"",Japan.” 
"",Ryukyu and Bonin Islands. Commodore Perry on three visits before going to Japan and while waiting 
"","for a reply from Japan made a naval demonstration, landing marines twice, and secured a coaling "
"",concession from the ruler of Naha on Okinawa; he also demonstrated in the Bonin Islands with the 
"",purpose of securing facilities for commerce. 
1854  ,China. April 4 to June 15 to 17. American and English ships landed forces to protect American 
"",interests in and near Shanghai during Chinese civil strife. 
"",Nicaragua. July 9 to 15. Naval forces bombarded and burned San Juan del Norte (Greytown) to 
"",avenge an insult to the American Minister to Nicaragua. 
1855  ,"China. May 19 to 21. U.S. forces protected American interests in Shanghai and, from August 3 to 5, "
"",fought pirates near Hong Kong. 
"",Fiji Islands. September 12 to November 4. An American naval force landed to seek reparations for 
"",depredations on American residents and seamen. 
"",Uruguay. November 25 to 29. United States and European naval forces landed to protect American 
"",interests during an attempted revolution in Montevideo. 
1856  ,"Panama, Republic of New Grenada. September 19 to 22. U.S. forces landed to protect American "
"",interests during an insurrection. 
"",China. October 22 to December 6. U.S. forces landed to protect American interests at Canton during 
"","hostilities between the British and the Chinese, and to avenge an assault upon an unarmed boat "
"",displaying the United States flag. 
1857  ,"Nicaragua. April to May, November to December. In May Commander C.H. Davis of the United "
"","States Navy, with some marines, received the surrender of William Walker, who had been attempting "
"","to get control of the country, and protected his men from the retaliation of native allies who had "
"","been fighting Walker. In November and December of the same year United States vessels Saratoga, "
"","Wabash, and Fulton opposed another attempt of William Walker on Nicaragua. Commodore Hiram "
"",Paulding’s act of landing marines and compelling the removal of Walker to the United States was 
"","tacitly disavowed by Secretary of State Lewis Cass, and Paulding was forced into retirement. "
1858  ,Uruguay. January 2 to 27. Forces from two United States warships landed to protect American 
"",property during a revolution in Montevideo. 
"",Fiji Islands. October 6 to 16. A marine expedition chastised natives for the murder of two American 
"",citizens at Waya. 
1858-1859  ,Turkey. The Secretary of State requested a display of naval force along the Levant after a massacre of 
"",Americans at Jaffa and mistreatment elsewhere “to remind the authorities (of Turkey) of the power 
"",of the United States.” 
1859  ,Paraguay. Congress authorized a naval squadron to seek redress for an attack on a naval vessel in the 
"",Parana River during 1855. Apologies were made after a large display of force. 
"",Mexico. Two hundred United States soldiers crossed the Rio Grande in pursuit of the Mexican bandit 
"",Cortina. 
"",China. July 31 to August 2. A naval force landed to protect American interests in Shanghai. 
1860  ,"Angola, Portuguese West Africa. March 1. American residents at Kissembo called upon American and "
"",British ships to protect lives and property during problems with natives. 
"",Colombia (Bay of Panama). September 27 to October 8. Naval forces landed to protect American 
"",interests during a revolution. 
1863  ,Japan. July 16. The USS Wyoming retaliated against a firing on the American vessel Pembroke at 
"",Shimonoseki. 
1864  ,Japan. July 14 to August 3. Naval forces protected the United States Minister to Japan when he visited 
"","Yedo to negotiate concerning some American claims against Japan, and to make his negotiations "
"",easier by impressing the Japanese with American power. 
"","Japan. September 4 to 14. Naval forces of the United States, Great Britain, France, and the "
"",Netherlands compelled Japan and the Prince of Nagato in particular to permit the Straits of 
"",Shimonoseki to be used by foreign shipping in accordance with treaties already signed. 
1865  ,Panama. March 9 and 10. U.S. forces protected the lives and property of American residents during a 
"",revolution. 
1866  ,"China. From June 20 to July 7, U.S. forces punished an assault on the American consul at Newchwang. "
"","Mexico. To protect American residents, General Sedgwick and 100 men in November obtained "
"",surrender of Matamoras. After three days he was ordered by U.S. government to withdraw. His act 
"",was repudiated by the President. 
1867  ,Nicaragua. Marines occupied Managua and Leon. 
"",Formosa. June 13. A naval force landed and burned a number of huts to punish the murder of the 
"",crew of a wrecked American vessel. 
1868  ,"Japan (Osaka, Hiolo, Nagasaki, Yokohama, and Negata). February 4 to 8, April 4 to May 12, June 12 and "
"",13. U.S. forces were landed to protect American interests during the civil war in Japan. 
"","Uruguay. February 7 and 8, 19 to 26. U.S. forces protected foreign residents and the customhouse "
"",during an insurrection at Montevideo. 
"",Colombia. April. U.S. forces protected passengers and treasure in transit at Aspinwall during the 
"",absence of local police or troops on the occasion of the death of the president of Colombia. 
1870  ,"Mexico. June 17 and 18. U.S. forces destroyed the pirate ship Forward, which had been run aground "
"",about 40 miles up the Rio Tecapan. 
"",Hawaiian Islands. September 21. U.S. forces placed the American flag at half-mast upon the death of 
"","Queen Kalama, when the American consul at Honolulu would not assume responsibility for so doing. "
1871  ,Korea. June 10 to 12. A U.S. naval force attacked and captured five forts to punish natives for 
"","depredations on Americans, particularly for murdering the crew of the General Sherman and burning "
"","the schooner, and for later firing on other American small boats taking soundings up the Salee River. "
1873  ,"Colombia (Bay of Panama). May 7 to 22, September 23 to October 9. U.S. forces protected American "
"",interests during hostilities between local groups over control of the government of the State of 
"",Panama. 
1873-1896  ,Mexico. United States troops crossed the Mexican border repeatedly in pursuit of cattle thieves and 
"",other brigands. There were some reciprocal pursuits by Mexican troops into border territory. 
"",Mexico protested frequently. Notable cases were at Remolina in May 1873 and at Las Cuevas in 
"",1875. Washington orders often supported these excursions. Agreements between Mexico and the 
"","United States, the first in 1882, finally legitimized such raids. They continued intermittently, with "
"","minor disputes, until 1896. "
1874  ,Hawaiian Islands. February 12 to 20. Detachments from American vessels were landed to preserve 
"",order and protect American lives and interests during the coronation of a new king. 
1876  ,Mexico. May 18. An American force was landed to police the town of Matamoras temporarily while it 
"",was without other government. 
1882  ,Egypt. July 14 to 18. American forces landed to protect American interests during warfare between 
"",British and Egyptians and looting of the city of Alexandria by Arabs. 
1885  ,Panama (Colon). January 18 and 19. U.S. forces were used to guard the valuables in transit over the 
"","Panama Railroad, and the safes and vaults of the company during revolutionary activity. In March, "
"","April, and May in the cities of Colon and Panama, the forces helped reestablish freedom of transit "
"",during revolutionary activity. 
1888  ,Korea. June. A naval force was sent ashore to protect American residents in Seoul during unsettled 
"","political conditions, when an outbreak of the populace was expected. "
"",Haiti. December 20. A display of force persuaded the Haitian government to give up an American 
"",steamer which had been seized on the charge of breach of blockade. 
1888-1889  ,"Samoa. November 14, 1888, to March 20, 1889. U.S. forces were landed to protect American citizens "
"",and the consulate during a native civil war. 
1889  ,Hawaiian Islands. July 30 and 31. U.S. forces protected American interests at Honolulu during a 
"",revolution. 
1890  ,Argentina. A naval party landed to protect U.S. consulate and legation in Buenos Aires. 
1891  ,Haiti. U.S. forces sought to protect American lives and property on Navassa Island. 
"",Bering Strait. July 2 to October 5. Naval forces sought to stop seal poaching. 
"",Chile. August 28 to 30. U.S. forces protected the American consulate and the women and children 
"",who had taken refuge in it during a revolution in Valparaiso. 
1893  ,"Hawaii. January 16 to April 1. Marines were landed ostensibly to protect American lives and property, "
"",but many believed actually to promote a provisional government under Sanford B. Dole. This action 
"",was disavowed by the United States. 
1894  ,Brazil. January. A display of naval force sought to protect American commerce and shipping at Rio de 
"",Janeiro during a Brazilian civil war.  
"",Nicaragua. July 6 to August 7. U.S. forces sought to protect American interests at Bluefields following 
"",a revolution. 
1894-1895  ,China. Marines were stationed at Tientsin and penetrated to Peking for protection purposes during 
"",the Sino-Japanese War. 
"",China. A naval vessel was beached and used as a fort at Newchwang for protection of American 
"",nationals. 
1894-1896  ,"Korea. July 24, 1894 to April 3, 1896. A guard of marines was sent to protect the American legation "
"",and American lives and interests at Seoul during and following the Sino-Japanese War.  
1895  ,Colombia. March 8 to 9. U.S. forces protected American interests during an attack on the town of 
"",Bocas del Toro by a bandit chieftain. 
1896  ,Nicaragua. May 2 to 4. U.S. forces protected American interests in Corinto during political unrest. 
1898  ,Nicaragua. February 7 and 8. U.S. forces protected American lives and property at San Juan del Sur. 
1898  ,"The Spanish-American War. On April 25, 1898, the United States declared war with "
"",Spain. The war followed a Cuban insurrection against Spanish rule and the sinking of the USS Maine 
"",in the harbor at Havana. 
1898-1899  ,"China. November 5, 1898, to March 15, 1899. U.S. forces provided a guard for the legation at Peking "
"",and the consulate at Tientsin during contest between the Dowager Empress and her son. 
1899  ,Nicaragua. American and British naval forces were landed to protect national interests at San Juan del 
"","Norte, February 22 to March 5, and at Bluefields a few weeks later in connection with the "
"",insurrection of General Juan P. Reyes. 
"",Samoa. February-May 15. American and British naval forces were landed to protect national interests 
"",and to take part in a bloody contention over the succession to the throne. 
1899-1901  ,Philippine Islands. U.S. forces protected American interests following the war with Spain and 
"",conquered the islands by defeating the Filipinos in their war for independence. 
1900  ,China. May 24 to September 28. American troops participated in operations to protect foreign lives 
"","during the Boxer rising, particularly at Peking. For many years after this experience a permanent "
"","legation guard was maintained in Peking, and was strengthened at times as trouble threatened. "
1901  ,Colombia (State of Panama). November 20 to December 4. U.S. forces protected American property 
"",on the Isthmus and kept transit lines open during serious revolutionary disturbances. 
1902  ,Colombia. April 16 to 23. U.S. forces protected American lives and property at Bocas del Toro during 
"",a civil war. 
"",Colombia (State of Panama). September 17 to November 18. The United States placed armed guards 
"","on all trains crossing the Isthmus to keep the railroad line open, and stationed ships on both sides of "
"",Panama to prevent the landing of Colombian troops. 
1903  ,Honduras. March 23 to 30 or 31. U.S. forces protected the American consulate and the steamship 
"",wharf at Puerto Cortez during a period of revolutionary activity. 
"",Dominican Republic. March 30 to April 21. A detachment of marines was landed to protect American 
"",interests in the city of Santo Domingo during a revolutionary outbreak. 
"",Syria. September 7 to 12. U.S. forces protected the American consulate in Beirut when a local 
"",Moslem uprising was feared. 
1903-1904  ,Abyssinia. Twenty-five marines were sent to Abyssinia to protect the U.S. Consul General while he 
"",negotiated a treaty. 
1903-1914  ,Panama. U.S. forces sought to protect American interests and lives during and following the 
"",revolution for independence from Colombia over construction of the Isthmian Canal. With brief 
"","intermissions, United States Marines were stationed on the Isthmus from November 4, 1903, to "
"","January 21, 1914, to guard American interests. "
1904  ,Dominican Republic. January 2 to February 11. American and British naval forces established an area in 
"",which no fighting would be allowed and protected American interests in Puerto Plata and Sosua and 
"",Santo Domingo City during revolutionary fighting. 
"","Tangier, Morocco. “We want either Perdicaris alive or Raisula dead.” A squadron demonstrated to "
"",force release of a kidnapped American. Marines were landed to protect the consul general. 
"",Panama. November 17 to 24. U.S. forces protected American lives and property at Ancon at the time 
"",of a threatened insurrection. 
1904-1905  ,"Korea. January 5, 1904, to November 11, 1905. A guard of Marines was sent to protect the American "
"",legation in Seoul during the Russo-Japanese War. 
1906-1909  ,"Cuba. September 1906 to January 23, 1909. U.S. forces sought to restore order, protect foreigners, "
"",and establish a stable government after serious revolutionary activity. 
1907  ,Honduras. March 18 to June 8. To protect American interests during a war between Honduras and 
"","Nicaragua, troops were stationed in Trujillo, Ceiba, Puerto Cortez, San Pedro, Laguna, and Choloma. "
1910  ,Nicaragua. May 19 to September 4. U.S. forces protected American interests at Bluefields. 
1911  ,Honduras. January 26. American naval detachments were landed to protect American lives and 
"",interests during a civil war in Honduras. 
"","China. As the nationalist revolution approached, in October an ensign and 10 men tried to enter "
"","Wuchang to rescue missionaries but retired on being warned away, and a small landing force guarded "
"",American private property and consulate at Hankow. Marines were deployed in November to guard 
"","the cable stations at Shanghai; landing forces were sent for protection in Nanking, Chinkiang, Taku, "
"",and elsewhere. 
1912  ,Honduras. A small force landed to prevent seizure by the government of an American-owned railroad 
"",at Puerto Cortez. The forces were withdrawn after the United States disapproved the action. 
"","Panama. Troops, on request of both political parties, supervised elections outside the Canal Zone. "
"","Cuba. June 5 to August 5. U.S. forces protected American interests on the Province of Oriente, and in "
"",Havana. 
"","China. August 24 to 26, on Kentucky Island, and August 26 to 30 at Camp Nicholson. U.S. forces "
"",protected Americans and American interests during revolutionary activity. 
"",Turkey. November 18 to December 3. U.S. forces guarded the American legation at Constantinople 
"",during a Balkan War. 
1912-1925  ,Nicaragua. August to November 1912. U.S. forces protected American interests during an attempted 
"","revolution. A small force, serving as a legation guard and seeking to promote peace and stability, "
"","remained until August 5, 1925. "
1912-1941  ,China. The disorders which began with the overthrow of the dynasty during Kuomintang rebellion in 
"","1912, which were redirected by the invasion of China by Japan, led to demonstrations and landing "
"",parties for the protection of U.S. interests in China continuously and at many points from 1912 on to 
"","1941. The guard at Peking and along the route to the sea was maintained until 1941. In 1927, the "
"","United States had 5,670 troops ashore in China and 44 naval vessels in its waters. In 1933 the United "
"","States had 3,027 armed men ashore. The protective action was generally based on treaties with China "
"",concluded from 1858 to 1901. 
1913  ,Mexico. September 5 to 7. A few marines landed at Ciaris Estero to aid in evacuating American 
"","citizens and others from the Yaqui Valley, made dangerous for foreigners by civil strife. "
1914  ,"Haiti. January 29 to February 9, February 20 to 21, October 19. Intermittently, U.S. naval forces "
"",protected American nationals in a time of rioting and revolution. 
"","Dominican Republic. June and July. During a revolutionary movement, United States naval forces by "
"","gunfire stopped the bombardment of Puerto Plata, and by threat of force maintained Santo Domingo "
"",City as a neutral zone. 
1914-1917  ,Mexico. Undeclared Mexican-American hostilities followed the Dolphin affair and Villa’s raids and 
"",included capture of Vera Cruz and later Pershing’s expedition into northern Mexico. 
1915-1934  ,"Haiti. July 28, 1915, to August 15, 1934. U.S. forces maintained order during a period of chronic "
"",political instability. 
1916  ,China. American forces landed to quell a riot taking place on American property in Nanking. 
1916-1924  ,Dominican Republic. May 1916 to September 1924. American naval forces maintained order during a 
"",period of chronic and threatened insurrection. 
1917  ,China. American troops were landed at Chungking to protect American lives during a political crisis. 
1917-1918  ,"World War I. On April 6, 1917, the United States declared war with Germany and on "
"","December 7, 1917, with Austria-Hungary. Entrance of the United States into the war was "
"",precipitated by Germany’s submarine warfare against neutral shipping. 
1917-1922  ,Cuba. U.S. forces protected American interests during an insurrection and subsequent unsettled 
"","conditions. Most of the United States armed forces left Cuba by August 1919, but two companies "
"",remained at Camaguey until February 1922. 
1918-1919  ,"Mexico. After withdrawal of the Pershing expedition, U.S. troops entered Mexico in pursuit of bandits "
"",at least three times in 1918 and six times in 1919. In August 1918 American and Mexican troops 
"",fought at Nogales. 
1918-1920  ,"Panama. U.S. forces were used for police duty according to treaty stipulations, at Chiriqui, during "
"",election disturbances and subsequent unrest. 
"",Soviet Russia. Marines were landed at and near Vladivostok in June and July to protect the American 
"","consulate and other points in the fighting between the Bolshevik troops and the Czech Army, which "
"",had traversed Siberia from the western front. A joint proclamation of emergency government and 
"","neutrality was issued by the American, Japanese, British, French, and Czech commanders in July. In "
"","August 7,000 men were landed in Vladivostok and remained until January 1920, as part of an allied "
"","occupation force. In September 1918, 5,000 American troops joined the allied intervention force at "
"",Archangel and remained until June 1919. These operations were in response to the Bolshevik 
"",revolution in Russia and were partly supported by Czarist or Kerensky elements. 
1919  ,Dalmatia. U.S. forces were landed at Trau at the request of Italian authorities to police order between 
"",the Italians and Serbs. 
"",Turkey. Marines from the USS Arizona were landed to guard the U.S. Consulate during the Greek 
"",occupation of Constantinople. 
"",Honduras. September 8 to 12. A landing force was sent ashore to maintain order in a neutral zone 
"",during an attempted revolution. 
1920  ,China. March 14. A landing force was sent ashore for a few hours to protect lives during a disturbance 
"",at Kiukiang. 
"","Guatemala. April 9 to 27. U.S. forces protected the American legation and other American interests, "
"","such as the cable station, during a period of fighting between Unionists and the government of "
"",Guatemala. 
1920-1922  ,"Russia (Siberia). February 16, 1920, to November 19, 1922. A Marine guard was sent to protect the "
"","United States radio station and property on Russian Island, Bay of Vladivostok. "
1921  ,Panama-Costa Rica. American naval squadrons demonstrated in April on both sides of the Isthmus to 
"",prevent war between the two countries over a boundary dispute. 
1922  ,Turkey. September and October. A landing force was sent ashore with consent of both Greek and 
"",Turkish authorities to protect American lives and property when the Turkish Nationalists entered 
"",Smyrna. 
1922-1923  ,China. Between April 1922 and November 1923 marines were landed five times to protect Americans 
"",during periods of unrest. 
1924  ,"Honduras. February 28 to March 31, September 10 to 15. U.S. forces protected American lives and "
"",interests during election hostilities. 
"",China. September. Marines were landed to protect Americans and other foreigners in Shanghai during 
"",Chinese factional hostilities. 
1925  ,China. January 15 to August 29. Fighting of Chinese factions accompanied by riots and demonstrations 
"",in Shanghai brought the landing of American forces to protect lives and property in the International 
"",Settlement. 
"",Honduras. April 19 to 21. U.S. forces protected foreigners at La Ceiba during a political upheaval. 
"",Panama. October 12 to 23. Strikes and rent riots led to the landing of about 600 American troops to 
"",keep order and protect American interests. 
1926-1933  ,"Nicaragua. May 7 to June 5, 1926; August 27, 1926, to January 3, 1933. The coup d’état of General "
"",Chamorro aroused revolutionary activities leading to the landing of American marines to protect the 
"","interests of the United States. United States forces came and went intermittently until January 3, "
"",1933. 
1926  ,China. August and September. The Nationalist attack on Hankow brought the landing of American 
"",naval forces to protect American citizens. A small guard was maintained at the consulate general even 
"","after September 16, when the rest of the forces were withdrawn. Likewise, when Nationalist forces "
"","captured Kiukiang, naval forces were landed for the protection of foreigners November 4 to 6. "
1927  ,China. February. Fighting at Shanghai caused American naval forces and marines to be increased. In 
"",March a naval guard was stationed at the American consulate at Nanking after Nationalist forces 
"",captured the city. American and British destroyers later used shell fire to protect Americans and 
"",other foreigners. Subsequently additional forces of marines and naval vessels were stationed in the 
"",vicinity of Shanghai and Tientsin. 
1932  ,China. American forces were landed to protect American interests during the Japanese occupation of 
"",Shanghai. 
1933  ,Cuba. During a revolution against President Gerardo Machado naval forces demonstrated but no 
"",landing was made. 
1934  ,China. Marines landed at Foochow to protect the American Consulate. 
1940  ,"Newfoundland, Bermuda, St. Lucia, Bahamas, Jamaica, Antigua, Trinidad, and British Guiana. Troops were "
"",sent to guard air and naval bases obtained by negotiation with Great Britain. These were sometimes 
"",called lend-lease bases. 
1941  ,Greenland. Greenland was taken under protection of the United States in April. 
"",Netherlands (Dutch Guiana). In November the President ordered American troops to occupy Dutch 
"","Guiana, but by agreement with the Netherlands government in exile, Brazil cooperated to protect "
"",aluminum ore supply from the bauxite mines in Surinam. 
"","Iceland. Iceland was taken under the protection of the United States, with consent of its government, "
"",for strategic reasons. 
"",Germany. Sometime in the spring the President ordered the Navy to patrol ship lanes to Europe. By 
"",July U.S. warships were convoying and by September were attacking German submarines. In 
"","November, the Neutrality Act was partly repealed to protect U.S. military aid to Britain. "
1941-1945  ,"World War II. On December 8, 1941, the United States declared war with Japan, on "
"","December 11 with Germany and Italy, and on June 5, 1942, with Bulgaria, Hungary, and "
"","Rumania. The United States declared war against Japan after the surprise bombing of Pearl Harbor, "
"","and against Germany and Italy after those nations, under the dictators Hitler and Mussolini, declared "
"","war against the United States. The United States declared war against Bulgaria, Hungary, and Rumania "
"",in response to the declarations of war by those nations against the United States. 
1945  ,"China. In October 50,000 U.S. Marines were sent to North China to assist Chinese Nationalist "
"","authorities in disarming and repatriating the Japanese in China and in controlling ports, railroads, and "
"","airfields. This was in addition to approximately 60,000 U.S. forces remaining in China at the end of "
"",World War II. 
1946  ,Trieste. President Truman ordered the augmentation of U.S. troops along the zonal occupation line 
"",and the reinforcement of air forces in northern Italy after Yugoslav forces shot down an unarmed 
"",U.S. Army transport plane flying over Venezia Giulia. Earlier U.S. naval units had been dispatched to 
"",the scene. 
1948  ,Palestine. A marine consular guard was sent to Jerusalem to protect the U.S. Consul General. 
"","Berlin. After the Soviet Union established a land blockade of the U.S., British, and French sectors of "
"","Berlin on June 24, 1948, the United States and its allies airlifted supplies to Berlin until after the "
"",blockade was lifted in May 1949. 
1948-1949  ,China. Marines were dispatched to Nanking to protect the American Embassy when the city fell to 
"","Communist troops, and to Shanghai to aid in the protection and evacuation of Americans. "
1950-1953  ,Korean War. The United States responded to North Korean invasion of South Korea by going to its 
"","assistance, pursuant to United Nations Security Council resolutions. U.S. forces deployed in Korea "
"","exceeded 300,000 during the last year of the conflict. Over 36,600 U.S. military were killed in action. "
1950-1955  ,"Formosa (Taiwan). In June 1950 at the beginning of the Korean War, President Truman ordered the "
"",U.S. Seventh Fleet to prevent Chinese Communist attacks upon Formosa and Chinese Nationalist 
"",operations against mainland China. 
1954-1955  ,China. Naval units evacuated U.S. civilians and military personnel from the Tachen Islands. 
1956  ,Egypt. A marine battalion evacuated U.S. nationals and other persons from Alexandria during the Suez 
"",crisis. 
1958  ,Lebanon. Marines were landed in Lebanon at the invitation of its government to help protect against 
"",threatened insurrection supported from the outside. The President’s action was supported by a 
"",congressional resolution passed in 1957 that authorized such actions in that area of the world. 
1959-1960  ,The Caribbean. 2d Marine Ground Task Force was deployed to protect U.S. nationals during the 
"",Cuban crisis. 
1962  ,"Thailand. The 3d Marine Expeditionary Unit landed on May 17, 1962, to support that country during "
"","the threat of Communist pressure from outside; by July 30 the 5,000 marines had been withdrawn. "
"","Cuba. On October 22, President Kennedy instituted“quarantine” on the shipment of offensive missiles "
"",to Cuba from the Soviet Union. He also warned the Soviet Union that the launching of any missile 
"",from Cuba against any nation in the Western Hemisphere would bring about U.S. nuclear retaliation 
"",on the Soviet Union. A negotiated settlement was achieved in a few days.  
